"order_id";"order_date";"product_id";"order_item_name";"total_sales";"order_item_type";"product_qty";"product_net_revenue";"customer_id";"first_name";"last_name";"email";"city";"state"
"1181";"2025-05-10 08:17:14";"1010";"Hosofshopaholic - Darel Skirt";"7";"line_item";"1";"160000";"110";"Claresta";"Alway";"calway1z@wix.com";"Tapanuli Tengah";"SU"
"1180";"2025-05-10 08:13:52";"986";"ECINOS - Philia Oversized Linen Shirt";"2";"line_item";"1";"269000";"109";"Blythe";"Aspinal";"baspinal1y@fc2.com";"Indragiri Hilir";"RI"
"1179";"2025-05-10 08:10:36";"883";"Voal Motif Printing Sublim Segiempat Premium";"3";"line_item";"1";"31000";"108";"Alix";"Kirkup";"akirkup1x@parallels.com";"Makassar";"SS"
"1178";"2025-05-10 08:08:08";"856";"URBAN&CO BASIC Sandal Wanita Sendal Teplek Casual - Demi";"3";"line_item";"1";"151900";"107";"Morgana";"Randal";"mrandal1w@latimes.com";"Palembang";"SS"
"1177";"2025-05-10 08:01:50";"860";"SHOEBALI Heels 021-218";"4";"line_item";"1";"215000";"106";"Harcourt";"Clayson";"hclayson1v@yahoo.com";"Denpasar";"BA"
"1176";"2025-05-10 07:56:18";"609";"Lafiye Skiv Rou Scarf";"2";"line_item";"1";"160000";"105";"Malva";"Anger";"manger1u@blog.com";"Kupang";"NT"
"1175";"2025-05-10 07:54:18";"929";"Jam Tangan Wanita JT 8151";"4";"line_item";"1";"115000";"104";"Berkeley";"Arnholdt";"barnholdt1t@un.org";"Medan";"SU"
"1174";"2025-05-10 07:50:35";"867";"HEELSADDICT Mini Amber Laser Cut Sling Bag";"5";"line_item";"1";"93400";"62";"Vaclav";"Wedge";"vwedge1s@typepad.com";"Malang";"JI"
"1173";"2025-05-10 07:20:38";"706";"Compass Velocity Black";"4";"line_item";"1";"780000";"87";"Dephine";"Arntzen";"darntzen7@weibo.com";"Pontianak";"KB"
"1172";"2025-05-10 07:19:43";"580";"Atasan Knit Wanita";"10";"line_item";"1";"55000";"84";"Jaqcuelin";"Klaff";"jklaff6@phpbb.com";"Pontianak";"KB"
